"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1",,"Unclustered","0.0","TMEM126B","false","TMEM126B"
"-1",,"Unclustered","0.0","MARVELD1","false","MARVELD1"
"-1",,"Unclustered","2.0","TAF10","false","TAF10"
"1",,"Unclustered","0.0","NFIX","false","NFIX"
"-1",,"Unclustered","0.0","TCN1","false","TCN1"
"-1",,"Unclustered","0.0","TC2N","false","TC2N"
"1",,"Unclustered","0.0","MT1G","false","MT1G"
"-1",,"Unclustered","0.0","ZNF292","false","ZNF292"
"-1",,"Unclustered","0.6666666666666666","NEIL1","false","NEIL1"
"-1",,"Unclustered","0.0","NUDCD2","false","NUDCD2"
"1",,"Unclustered","0.6666666666666666","NUP88","false","NUP88"
"1",,"Unclustered","0.6666666666666666","RBBP9","false","RBBP9"
"1",,"Unclustered","0.0","PAQR5","false","PAQR5"
"-1",,"Unclustered","0.0","PDS5B","false","PDS5B"
"1",,"Unclustered","0.6666666666666666","TUBGCP2","false","TUBGCP2"
"-1",,"Unclustered","0.4","UNC13D","false","UNC13D"
"-1",,"Unclustered","1.6666666666666667","RPS6KA2","false","RPS6KA2"
"-1",,"Unclustered","0.0","PKHD1L1","false","PKHD1L1"
"-1",,"Unclustered","0.6666666666666666","PYROXD1","false","PYROXD1"
"-1",,"Unclustered","0.0","PLN","false","PLN"
,,"Unclustered","0.0","PTPN20A","false","PTPN20A"
"1",,"Unclustered","0.0","PPP1R2","false","PPP1R2"
"1",,"Unclustered","0.0","PPP6R2","false","PPP6R2"
"1",,"Unclustered","0.0","PROM2","false","PROM2"
"1",,"Unclustered","0.0","SSH2","false","SSH2"
,,"Unclustered","0.0","PTPLAD2","false","PTPLAD2"
"-1",,"Unclustered","0.0","PYROXD2","false","PYROXD2"
"1",,"Unclustered","0.0","RCBTB1","false","RCBTB1"
"-1",,"Unclustered","0.0","ZBBX","false","ZBBX"
"-1",,"Unclustered","0.0","RGS5","false","RGS5"
"1",,"Unclustered","0.0","SC5D","false","SC5D"
"1",,"Unclustered","0.6666666666666666","SLC39A8","false","SLC39A8"
"1",,"Unclustered","0.0","ZBED6","false","ZBED6"
"1",,"Unclustered","0.0","SYNGR2","false","SYNGR2"
"-1",,"Unclustered","0.0","SYTL5","false","SYTL5"
"1",,"Unclustered","0.0","TRIM44","false","TRIM44"
"-1",,"Unclustered","0.0","ZNRF2","false","ZNRF2"
"-1",,"Unclustered","0.0","ZC3HAV1L","false","ZC3HAV1L"
