"","group","filter","genes","logFC","logCPM","LR","PValue"
"8603",1,"8603","KRTAP2-3",2.77276831428795,5.77870139661804,18.7897887742736,1.45946432864773e-05
"8671",-1,"8671","LAMC3",-1.98150833373868,2.91360087887511,12.1702907898471,0.000485567357229638
"8698",1,"8698","LARS1",1.93666586724502,5.57591702856756,13.3948223272949,0.000252319840404459
"8763",-1,"8763","LEF1",-1.97787208962947,6.18398059948566,13.7881743505681,0.000204620159892507
"8805",-1,"8805","LGR4",-2.90670141141106,4.14769469553963,13.2307865710855,0.000275388221964656
"8825",-1,"8825","LHX6",-2.95823888061551,3.7129445271938,15.2985698546414,9.17859748597962e-05
"8896",-1,"8896","LINC00261",-2.2652566899931,3.08905643361736,10.9554504211751,0.000933286829890593
"9189",1,"9189","LINC01133",2.45572697002038,3.65928339134369,17.4400089299307,2.96518650841215e-05
"9314",-1,"9314","LINC01541",-2.74088117332901,7.22996750578483,17.3186680272155,3.16066554902057e-05
"9609",-1,"9609","LINC02562",-2.02974335588328,1.29562109056415,11.3341392089771,0.000760950983464209
"10230",-1,"10230","LOC105371352",-3.01791064194573,3.77188491568069,12.7498134517629,0.000356044672395557
"10599",-1,"10599","LRRC17",-1.96827351533977,2.74243477543086,13.2770303793137,0.000268677746144408
"10642",1,"10642","LRRC58",1.82441276580692,5.05725434466807,12.3192387006125,0.000448313509191266
"10739",-1,"10739","LY6D",-2.08748545739422,4.61251561030079,11.1446760903812,0.000842731868002119
"10747",1,"10747","LY6K",2.64254387830692,3.83453817688313,11.4644074046744,0.000709418491886636
"10807",1,"10807","MACROH2A1",3.14783661680692,6.13229484966807,26.3589835538354,2.83497230661354e-07
"10898",-1,"10898","MAOB",-2.14632685029778,3.5681420547317,14.12825855532,0.000170759184643062
"10915",-1,"10915","MAP3K1",-2.61807129063763,6.98260149658653,11.2598923331647,0.000791998045965127
"10919",1,"10919","MAP3K13",3.64984611881046,6.42190689078653,30.4763782617374,3.37956595233244e-08
"10926",-1,"10926","MAP3K20",-2.03185435810925,6.997304906417,11.2848192005333,0.000781434424086563
"10999",1,"10999","MARCO",2.94518463480553,6.30448265487896,23.1252219126286,1.51786564321276e-06
"11007",-1,"11007","MARVELD1",-2.21091123232647,4.10505635420795,15.6153229952025,7.76230131145195e-05
"11027",-1,"11027","MATN2",-4.40580383767847,7.3272252137518,13.0125802169501,0.00030940532256508
"11033",-1,"11033","MAX",-1.92220981807923,5.80055806344201,11.2264359541976,0.00080640355921941
"11051",-1,"11051","MBNL2",-2.24872967828303,6.34734425310068,16.3693634906345,5.21209225537934e-05
"11088",1,"11088","MCM6",2.56345190036436,6.8645446491011,10.9476095314331,0.000937244538648191
"11314",-1,"11314","MICALL2",-2.15406166899782,3.13896672083928,13.770678537027,0.000206534705914981
"11332",-1,"11332","MIER2",-2.04195934199711,2.65921108966019,12.2911551563645,0.00045510996275959
"11444",1,"11444","MLLT1",2.67375450367876,3.32419673925916,20.1080896062628,7.31864640725112e-06
